1	Oh	oh	_	UH	_	_	_	_	_
2	,	,	_	,	_	_	_	_	_
3	I	i	_	PRP	_	_	_	_	_
4	am	be	_	VBP	_	_	_	_	_
5	so	so	_	RB	_	_	_	_	_
6	happy	happy	_	JJ	_	_	_	_	_
7	,	,	_	,	_	_	_	_	_
8	Uncle	uncle	_	NNP	_	_	_	_	_
9	Paul	paul	_	NNP	_	_	_	_	_
10	!	!	_	.	_	_	_	_	_
11	''	''	_	''	_	_	_	_	_

1	He	he	_	PRP	_	_	_	_	_
2	smiled	smile	_	VBD	_	_	_	_	_
3	at	at	_	IN	_	_	_	_	_
4	her	her	_	PRP$	_	_	_	_	_
5	and	and	_	CC	_	_	_	_	_
6	put	put	_	VB	_	_	_	_	_
7	his	his	_	PRP$	_	_	_	_	_
8	arm	arm	_	NN	_	_	_	_	_
9	over	over	_	IN	_	_	_	_	_
10	her	her	_	PRP$	_	_	_	_	_
11	shoulder	shoulder	_	NN	_	_	_	_	_
12	.	.	_	.	_	_	_	_	_

1	Together	together	_	RB	_	_	_	_	_
2	they	they	_	PRP	_	_	_	_	_
3	walked	walk	_	VBD	_	_	_	_	_
4	up	up	_	RP	_	_	_	_	_
5	the	the	_	DT	_	_	_	_	_
6	golden	golden	_	JJ	_	_	_	_	_
7	arcade	arcade	_	NN	_	_	_	_	_
8	to	to	_	TO	_	_	_	_	_
9	tell	tell	_	VB	_	_	_	_	_
10	the	the	_	DT	_	_	_	_	_
11	others	others	_	NNS	_	_	_	_	_
12	.	.	_	.	_	_	_	_	_

1	That	that	_	DT	_	_	_	_	_
2	night	night	_	NN	_	_	_	_	_
3	Charlotte	charlotte	_	NNP	_	_	_	_	_
4	and	and	_	CC	_	_	_	_	_
5	Ellen	ellen	_	NNP	_	_	_	_	_
6	cried	cry	_	VBD	_	_	_	_	_
7	with	with	_	IN	_	_	_	_	_
8	happiness	happiness	_	NN	_	_	_	_	_
9	as	a	_	IN	_	_	_	_	_
10	they	they	_	PRP	_	_	_	_	_
11	talked	talk	_	VBD	_	_	_	_	_
12	it	it	_	PRP	_	_	_	_	_
13	over	over	_	RP	_	_	_	_	_
14	in	in	_	IN	_	_	_	_	_
15	the	the	_	DT	_	_	_	_	_
16	twilight	twilight	_	NN	_	_	_	_	_
17	.	.	_	.	_	_	_	_	_

1	``	``	_	``	_	_	_	_	_
2	How	how	_	WRB	_	_	_	_	_
3	beautiful	beautiful	_	JJ	_	_	_	_	_
4	!	!	_	.	_	_	_	_	_
5	''	''	_	''	_	_	_	_	_

1	murmured	murmur	_	VBN	_	_	_	_	_
2	Charlotte	charlotte	_	NNP	_	_	_	_	_
3	softly	softly	_	RB	_	_	_	_	_
4	.	.	_	.	_	_	_	_	_

1	``	``	_	``	_	_	_	_	_
2	We	we	_	PRP	_	_	_	_	_
3	shall	shall	_	MD	_	_	_	_	_
4	not	not	_	RB	_	_	_	_	_
5	lose	lose	_	VB	_	_	_	_	_
6	Worth	worth	_	NNP	_	_	_	_	_
7	after	after	_	IN	_	_	_	_	_
8	all	all	_	DT	_	_	_	_	_
9	.	.	_	.	_	_	_	_	_

1	Ellen	ellen	_	NNP	_	_	_	_	_
2	,	,	_	,	_	_	_	_	_
3	I	i	_	PRP	_	_	_	_	_
4	could	could	_	MD	_	_	_	_	_
5	not	not	_	RB	_	_	_	_	_
6	have	have	_	VB	_	_	_	_	_
7	borne	borne	_	NN	_	_	_	_	_
8	it	it	_	PRP	_	_	_	_	_
9	to	to	_	TO	_	_	_	_	_
10	see	see	_	VB	_	_	_	_	_
11	that	that	_	DT	_	_	_	_	_
12	girl	girl	_	NN	_	_	_	_	_
13	go	go	_	VB	_	_	_	_	_
14	utterly	utterly	_	RB	_	_	_	_	_
15	out	out	_	RB	_	_	_	_	_
16	of	of	_	IN	_	_	_	_	_
17	our	our	_	PRP$	_	_	_	_	_
18	lives	life	_	NNS	_	_	_	_	_
19	again	again	_	RB	_	_	_	_	_
20	.	.	_	.	_	_	_	_	_
21	''	''	_	''	_	_	_	_	_

1	``	``	_	``	_	_	_	_	_
2	I	i	_	PRP	_	_	_	_	_
3	always	always	_	RB	_	_	_	_	_
4	hoped	hop	_	VBD	_	_	_	_	_
5	and	and	_	CC	_	_	_	_	_
6	believed	believe	_	VBD	_	_	_	_	_
7	that	that	_	IN	_	_	_	_	_
8	Elizabeth	elizabeth	_	NNP	_	_	_	_	_
9	's	's	_	POS	_	_	_	_	_
10	child	child	_	NN	_	_	_	_	_
11	would	would	_	MD	_	_	_	_	_
12	somehow	somehow	_	VB	_	_	_	_	_
13	bring	bring	_	VB	_	_	_	_	_
14	us	u	_	PRP	_	_	_	_	_
15	all	all	_	DT	_	_	_	_	_
16	together	together	_	RB	_	_	_	_	_
17	again	again	_	RB	_	_	_	_	_
18	,	,	_	,	_	_	_	_	_
19	''	''	_	''	_	_	_	_	_
20	said	say	_	VBD	_	_	_	_	_
21	Ellen	ellen	_	NNP	_	_	_	_	_
22	happily	happily	_	RB	_	_	_	_	_
23	.	.	_	.	_	_	_	_	_

1	Freda	freda	_	NNP	_	_	_	_	_
